,product_Nom,product_Marque,product_Categorie,product_Prix
0,ACADEMIE HYDRADERM CREME ONCTUEUSE HYDRATATION CONFORT 50ML REF 1005,ACADEMIE,Premium,540.0
1,ACADEMIE HYDRADERM CREME RICHE HYDRATATION RECONFORT 50ML REF 1009,ACADEMIE,Premium,520.0
2,ACADEMIE HYDRADERM CREME VELOUTEE HYDRATATION DOUCEUR 50ML REF 1004,ACADEMIE,Premium,540.0
3,ACADEMIE HYDRADERM FLUIDE LEGER HYDRATATION FRAICHEUR 50ML REF 1003,ACADEMIE,Premium,520.0
4,ACADEMIE HYDRADERM GEL FONDANT HYDRATATION PURETE 50ML REF1002,ACADEMIE,Premium,540.0
5,ACADEMIE HYDRADERM LAIT DEMAQUILLANT DOUX GOMMANT 2EN1 200ML REF 1000,ACADEMIE,Premium,344.0
6,ACADEMIE HYDRADERM MASQUE REHYDRATANT DOUCEUR 50ML REF1007,ACADEMIE,Premium,324.0
7,ACADEMIE HYDRADERM SERUM 24H 30ML REF 1012,ACADEMIE,Premium,568.0
8,ACADEMIE HYDRADERM TONIQUE HYDRATANT 200ML REF 1001,ACADEMIE,Premium,296.0
9,ACADEMIE TIME+ SERUM RESTRUCTURANT UNIFORMISANT 30ML REF 9125,ACADEMIE,Premium,512.0
10,ACADEMIE TIME+ SOIN PRO CALCIUM REDENSIFIANT 50ML REF 9126,ACADEMIE,Premium,192.0
11,ACADEMIE WHITE CREME HYDRATANTE ECLAIRCISSANTE 50ML REF 8340,ACADEMIE,Premium,576.0
12,ACADEMIE WHITE DERM ACTE LOTION TONIQUE ECLARCISSANTE 250ML REF 2005,ACADEMIE,Premium,340.0
13,ACADEMIE YOUTH REPAIR FORMULE MERVEILLEUSE SERUM REGENERANT 30ML REF 9121,ACADEMIE,Premium,432.0
14,ACADEMIE YOUTH REPAIR LEVRES 3D PERFECTION SOIN REGENERANT 15ML REF 9123,ACADEMIE,Premium,374.4
15,ACADEMIE YOUTH REPAIR MASQUE HYDRATANT RENOVATEUR 50ML REF 9104,ACADEMIE,Premium,540.0
16,ACADEMIE YOUTH REPAIR SOIN HYDRATANT REGENERANT 50ML REF 9100,ACADEMIE,Premium,748.8
17,ACADEMIE YOUTH REPAIR SOIN LISSANT CONTOURS YEUX ET LEVRES 40ML REF 9105,ACADEMIE,Premium,468.0
18,ACADEMIE YOUTH REPAIR SOIN REDENSIFIANT VOLUMATEUR 50ML,ACADEMIE,Premium,0.0
19,ACADEMIE YOUTH REPAIR SOIN TOTAL RESTRUCTURANT 50ML 9107,ACADEMIE,Premium,108.8
20,ARNAUD AQUA DETOX CREME CLIMAT EXTREME 50ML,ARNAUD,Premium,395.02
21,ARNAUD AQUA DETOX CREME DE JOUR PNM 50ML,ARNAUD,Premium,360.02
22,ARNAUD AQUA DETOX CREME NUIT 50ML,ARNAUD,Premium,370.02
23,ARNAUD AQUA DETOX MASQUE DESALTERANT 50ML,ARNAUD,Premium,260.01
24,ARNAUD AQUA DETOX SERUM REPULPANT 30ML,ARNAUD,Premium,440.02
25,ARNAUD COMPLEMENT NOURRISSANT 15ML,ARNAUD,Premium,385.02
