	product_Nom	product_Marque	product_Categorie	product_Prix
0	ELUGEL GEL BUCCAL 40ML	ELUGEL	Homme , Dentaire Femme	33.84
1	PARODIUM GEL GINGIVAL 50ML	PARODIUM	Homme , Dentaire Femme	43.55
2	PERIOKIN GEL 30ML 36G	Autres	Homme , Dentaire Femme	52.02
3	ELGYDIUM GEL DENTS SENSIBLES	ELGYDIUM	Homme , Dentaire Femme	40.2
4	BIOFAR FER ACIDE FOLIQUE ENERGIE FEMININE BOITE DE 20 COMPRIMES EFFERVESCENTS	Autres	Homme , Complement alimentaire Femme	67.15
5	BIOFAR VITAMINE C ACEROLA 500MG BOITE DE 20 COMPRIMES	Autres	Homme , Complement alimentaire Femme	58.65
6	STERIMAR NEZ BOUCHE HYPERTONIQUE 50ML	STERIMAR	Femme , Enfant , Homme	81.13
7	SENSODYNE RAPIDE 75ML	SENSODYNE	Dentaire Femme	50.25
8	STERIMAR BEBE 50ML AEROSOL	STERIMAR	Espace b̩b̩ et maman	81.13
9	BIOFAR MAGNESIUM VITAMIN B6 BOITE DE 20 COMPRIMES EFFERVESCENTS	Autres	Homme , Complement alimentaire Femme	76.08
10	PREGNACARE GROSSESSE BOITE DE 30 GELULES REFERENCE VIT007	Autres	Femme	85.5
11	GUM DENTIFRICE SPECIAL ORTHODONTIQUE REFERENCE 3080	GUM	Homme , Dentaire Femme	45.08
12	OSTEOCARE 200ML SIROP REFERENCE VIT002	Autres	Femme , Homme	85.88
13	DUCRAY MELASCREEN ECLAT CREME LEGERE SPF15 40ML	DUCRAY	Visage Femme	232.05
14	KLORANE CAMOMILLE SHAMPOOING 200ML	KLORANE	Homme , Cheveux	67.53
15	VICHY DERMABLEND FOND DE TEINT FLUIDE CORRECTEUR 16H NUMERO 15 OPALE 30ML	VICHY	Visage Femme	176.22
16	LA ROCHE POSAY EFFACLAR GEL MOUSSANT PURIFIANT 200ML	LA ROCHE POSAY	Corps , Visage Femme	140.58
17	LA ROCHE POSAY EAU THERMALE 300ML	LA ROCHE POSAY	Visage Femme	112.86
18	LA ROCHE POSAY TOLERIANE DERMO-NETTOYANT 400ML	LA ROCHE POSAY	Visage Femme	142.56
19	LA ROCHE POSAY SOLUTION MICELLAIRE PHYSIOLOGIQUE 200ML	LA ROCHE POSAY	Visage Femme	110.88
20	LA ROCHE POSAY GOMMAGE SURFIN PHYSIOLOGIQUE 50ML	LA ROCHE POSAY	Visage Femme	108.9
21	LA ROCHE POSAY TOLERIANE TEINT MINERAL NUMERO 13 BEIGE SABLE	LA ROCHE POSAY	Visage Femme	188.1
22	LA ROCHE POSAY CERALIP CREME LEVRES REPARATRICE 15ML	LA ROCHE POSAY	Corps , Visage Femme	63.36
23	LA ROCHE POSAY LIPIKAR XERAND CREME MAINS REPARATRICE 50ML	LA ROCHE POSAY	Corps	59.4
24	LA ROCHE POSAY TOLERIANE TEINT MINERAL NUMERO 11 BEIGE CLAIR	LA ROCHE POSAY	Visage Femme	188.1
25	VICHY CREME DEPILATOIRE DERMO TOLERANCE 150ML	VICHY	Hygiene , Corps	122.76
26	VICHY DERCOS ANTI-PELLICULAIRE SHAMPOOING TRAITANT CHEVEUX SECS 200ML	VICHY	Homme , Cheveux	114.84
27	VICHY DERCOS ENERGISANT SHAMPOOING COMPLEMENT ANTI-CHUTE 200ML	VICHY	Homme , Cheveux	108.9
28	AVENE TOLERANCE EXTREME CREME 50ML	AVENE	Visage Femme	215.67
29	LA ROCHE POSAY HYDRAPHASE UV INTENSE LEGERE 50ML	LA ROCHE POSAY	Visage Femme	201.96
30	LA ROCHE POSAY HYDRAPHASE UV INTENSE RICHE 50ML	LA ROCHE POSAY	Visage Femme	201.96
31	LA ROCHE POSAY NUTRITIC STICK LEVRES SOIN TRANSFORMATION LEVRES DESSECHEES 4.7ML	LA ROCHE POSAY	Visage Femme	75.24
32	LA ROCHE POSAY HYDRAPHASE INTENSE YEUX 15ML	LA ROCHE POSAY	Visage Femme	118.8
33	LA ROCHE POSAY EAU THERMALE 150ML	LA ROCHE POSAY	Visage Femme	71.28
34	VICHY AQUALIA THERMAL CREME RICHE 40ML	VICHY	Visage Femme	112.86
35	VICHY DERCOS ENERGISANT SHAMPOOING COMPLEMENT ANTI-CHUTE 400ML	VICHY	Homme , Cheveux	156.42
36	LA ROCHE POSAY TOLERIANE RICHE 40ML	LA ROCHE POSAY	Visage Femme	128.7
37	VICHY DERMABLEND FOND DE TEINT FLUIDE CORRECTEUR 16H NUMERO 25 NUDE 30ML	VICHY	Visage Femme	176.22
38	LA ROCHE POSAY TOLERIANE TEINT COMPACT NUMERO 10 IVOIRE	LA ROCHE POSAY	Visage Femme	188.1
39	LA ROCHE POSAY EFFACLAR A.I. CORRECTEUR CIBLE DES ERUPTIONS CUTANEES 15ML	LA ROCHE POSAY	Visage Femme	128.7
40	ACCU-CHEK ACTIVE KIT COMPLET 	ACCU-CHEK	Homme , Accessoire Femme	130.65
41	VICHY PURETE THERMALE DEMAQUILLANT APAISANT YEUX SENSIBLES 150ML	VICHY	Visage Femme	114.84
42	VICHY EAU THERMALE 150ML	VICHY	Visage Femme	83.16
43	ELGYDIUM BROSSE A DENTS CLINIC 20/100	ELGYDIUM	Homme , Dentaire Femme	35.84
44	ELGYDIUM BROSSE A DENTS CLINIC 15/100	ELGYDIUM	Homme , Dentaire Femme	35.84
45	LA ROCHE POSAY LIPIKAR LAIT RELIPIDANT CORPS 400ML	LA ROCHE POSAY	Corps	201.96
46	LA ROCHE POSAY KERIUM SHAMPOOING-GEL ANTI-PELLICULAIRE PELLICULES GRASSES 200ML	LA ROCHE POSAY	Homme , Cheveux	110.88
47	LA ROCHE POSAY KERIUM DS SHAMPOOING INTENSIF ANTI-PELLICULAIRE 125ML	LA ROCHE POSAY	Homme , Cheveux	122.76
48	LA ROCHE POSAY CICAPLAST ACCELERATEUR DE REPARATION EPIDERMIQUE 40ML	LA ROCHE POSAY	Visage Femme	126.72
49	LA ROCHE POSAY TOLERIANE ULTRA 40ML	LA ROCHE POSAY	Visage Femme	201.96
50	LA ROCHE POSAY LIPIKAR XERAND CREME MAINS REPARATRICE 75ML	LA ROCHE POSAY	Corps	59.4
51	ACCU-CHEK ACTIVE BANDELETTES BOITE DE 25	ACCU-CHEK	Homme , Accessoire Femme	90.45
52	LA ROCHE POSAY REDERMIC C PEAUX NORMALES A MIXTES 40ML	LA ROCHE POSAY	Visage Femme	229.68
53	LA ROCHE POSAY REDERMIC C PEAUX SECHES 40ML	LA ROCHE POSAY	Visage Femme	229.68
54	LA ROCHE POSAY LIPIKAR LAIT RELIPIDANT CORPS 200ML	LA ROCHE POSAY	Corps	148.5
55	LA ROCHE POSAY ANTHELIOS SPF50+ CREME HYDRATANTE ULTRA PROTECTION ULTRA RESISTANT 50ML	LA ROCHE POSAY	Solaire Femme , Visage Femme	154.44
56	DUCRAY KELUAL DS SHAMPOOING TRAITANT ANT-PELLICULAIRE ANTI-RECIDIVE 100ML	DUCRAY	Homme , Cheveux	148.79
57	LA ROCHE POSAY TOLERIANE TEINT COMPACT NUMERO 15 DORE	LA ROCHE POSAY	Visage Femme	188.1
58	LA ROCHE POSAY NUTRITIC INTENSE 50ML	LA ROCHE POSAY	Visage Femme	138.6
59	LA ROCHE POSAY REDERMIC C YEUX 15ML	LA ROCHE POSAY	Visage Femme	176.22
60	LA ROCHE POSAY LIPIKAR SURGRAS DOUCHE-CREME CONCENTREE 400ML	LA ROCHE POSAY	Corps	168.3
61	LA ROCHE POSAY LIPIKAR SURGRAS DOUCHE-CREME CONCENTREE 200ML	LA ROCHE POSAY	Corps	108.9
62	LA ROCHE POSAY LIPIKAR PODOLOGICS 100ML	LA ROCHE POSAY	Corps	102.96
63	LA ROCHE POSAY EFFACLAR H HYDRATANT APAISANT 40ML	LA ROCHE POSAY	Visage Femme	132.0
64	VICHY DEODORANT ANTI-TRANSPIRANT 48H PEAUX SENSIBLES OU EPILEES ROLL-ON 50ML 	VICHY	Hygiene , Corps	97.02
65	VICHY DERMABLEND FOND DE TEINT FLUIDE CORRECTEUR 16H NUMERO 35 SAND 30ML	VICHY	Visage Femme	176.22
